## Master file format version 2.0           2022.11.01 CAD&CCT

                         2023 MULTI-AGENCY SCHEDULE

                     Last Updated - March 02, 2023 - CCT

   SESSION      DATE     SESSION    DOY TIME   DUR                         STATIONS                        SKED CORR  STATUS  DBC  SUBM DEL
     TYPE     yyyymmdd     CODE     ddd hh:mm  h:mm                                                                  yyyymmdd CODE      days
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-R4      |20230810|r41115      |222|18:30|24:00|BdFtHtKeKkNsZc                                        |USNO|WASH|        | XE |USNO|-162|
|IVS-R1      |20230814|r11116      |226|17:00|24:00|FtHbKeKkNnNsOnSh                                      |NASA|BONN|        | XA |NASA|-166|
|IVS-RD      |20230816|rd2307      |228|18:00|24:00|FtHhKkNsOnT6Wz                                        |OSO |SHAO|        | XA |NASA|-168|
|VGOS-OPS    |20230816|vo3228      |228|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |NASA|BONN|        | VG |NASA|-168|
|IVS-R4      |20230817|r41116      |229|18:30|24:00|FtHbKeKkNnNsSvUrZc                                    |USNO|WASH|        | XE |USNO|-169|
|IVS-CRF     |20230821|crf136      |233|13:30|24:00|HhHoKmUrYs                                            |DACH|SHAO|        | XN |USNO|-173|
|IVS-R1      |20230822|r11117      |234|17:00|24:00|AgFtHbHtKeKkMaNnNsOnShWz                              |NASA|BONN|        | XA |NASA|-174|
|VGOS-24INT-S|20230822|s22412      |234|17:00|24:00|MgWs                                                  |DACH|WETZ|        | VJ |NASA|-174|
|IVS-CRF     |20230823|crf137      |235|18:00|24:00|HhKmMaNtYs                                            |DACH|SHAO|        | XN |USNO|-175|
|VGOS-OPS    |20230824|vo3236      |236|18:00|24:00|GsIsK2KeMgNnOeOwWfWsYj                                |NASA|VIEN|        | VG |NASA|-176|
|IVS-R4      |20230824|r41117      |236|18:30|24:00|FtHbHtKkNsSvUrZc                                      |USNO|WASH|        | XE |USNO|-176|
|IVS-R1      |20230828|r11118      |240|17:00|24:00|AgFtHbHtKeKkMaNnNsOnShWz                              |NASA|BONN|        | XA |NASA|-180|
|IVS-T2      |20230829|t2162       |241|17:30|24:00|263656FtHtKgKvNsOhOnSyWzYs                            |DACH|BONN|        | XH |BKG |-181|
|APSG        |20230830|apsg53      |242|18:00|24:00|HoKgKkKmKvShUr                                        |SHAO|SHAO|        | XA |NASA|-182|
|VGOS-OPS    |20230830|vo3242      |242|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |NASA|WETZ|        | VG |NASA|-182|
|IVS-R4      |20230831|r41118      |243|18:30|24:00|BdFtHbHtKeKkMaNnNs                                    |USNO|WASH|        | XE |USNO|-183|
--------------------------------------------------------------------------------------------------------------------------------------------
|IVS-CRF     |20230904|crf138      |247|13:30|24:00|HhHoKmUrYs                                            |DACH|SHAO|        | XN |USNO|-187|
|IVS-R1      |20230905|r11119      |248|17:00|24:00|AgHbHtKeKkKvMaNnNsNtOnWz                              |NASA|BONN|        | XA |NASA|-188|
|IVS-RDV     |20230906|rv161       |249|18:00|24:00|HhHoNsOnShVaWz                                        |USNO|VLBA|        | XA |USNO|-189|
|VGOS-OPS    |20230907|vo3250      |250|18:00|24:00|GsHbIsK2MgNnOeOwWfWsYj                                |NASA|WASH|        | VG |NASA|-190|
|IVS-R4      |20230907|r41119      |250|18:30|24:00|HtKeKkNsSvUrZc                                        |USNO|WASH|        | XE |USNO|-190|
|IVS-R1      |20230911|r11120      |254|17:00|24:00|AgFtHbHtKeKkKvMaNnNsOnWz                              |NASA|BONN|        | XA |NASA|-194|
|VGOS-24INT-S|20230911|s22413      |254|17:00|24:00|MgWs                                                  |DACH|WETZ|        | VJ |NASA|-194|
|IVS-RD      |20230913|rd2308      |256|18:00|24:00|FtHhKkKmMaNsOnWz                                      |OSO |SHAO|        | XA |NASA|-196|
|VGOS-RD     |20230913|vr2304      |256|18:00|24:00|GsHbIsK2KeMgNnOeOwWfWsYj                              |DACH|HAYS|        | VG |NASA|-196|
|IVS-R4      |20230914|r41120      |257|18:30|24:00|BdFtHbHtKeKkNnNsZc                                    |USNO|WASH|        | XE |USNO|-197|
|IVS-R1      |20230918|r11121      |261|17:00|24:00|AgBdFtHbHtKeKkKvNnNsSvWzZc                            |NASA|WASH|        | XA |NASA|-201|
|AUS-AST     |20230919|aua104      |262|17:30|24:00|HbHoHtKeWwYg                                          |DACH|UTAS|        | XA |NASA|-202|
|VGOS-OPS    |20230920|vo3263      |263|18:00|24:00|GsIsK2KeMgNnOeOwWfWsYj                                |NASA|BONN|        | VG |NASA|-203|
|IVS-R4      |20230920|r41121      |263|18:30|24:00|BdFtHbHtKkNsZc                                        |USNO|BONN|        | XE |USNO|-203|
